SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
13.682,0.184,4.966072245,4.514439368,5.6595,4.8775,2.19659511,1.388899888,null
13.92,0.184,4.595843613,4.28020224,5.7845,4.997,2.171708972,1.382896394,null
13.985,0.184,4.906192582,4.439016481,6.295,5.242,2.172638772,1.185757521,null
14.001,0.184,4.977968896,4.308437901,5.697,5.016,2.191341445,1.276386651,null
14.063,0.184,4.51714017,4.138918296,5.743,5.1475,2.136163435,1.280230619,null
14.122,0.184,4.792047843,4.249433574,5.6895,4.9705,2.303357691,1.467286476,null
14.143,0.184,4.967408055,4.444585775,5.9355,5.1325,2.194060807,1.326764319,null
14.154,0.184,4.800335021,4.445920186,5.854,5.3575,2.123490064,1.189923451,null
14.624,0.184,4.826683325,4.256551437,4.85,5.1705,2.292554026,1.389014435,low
14.668,0.184,4.76574695,4.524830425,5.6,4.753,2.260304029,1.400900191,low
13.782,0.185,4.866458486,4.009717536,5.5455,5.06,2.324225345,1.392938569,null
13.875,0.185,4.958461998,4.425428224,5.4195,5.171,2.244690744,1.383769961,null
13.912,0.185,4.731755103,4.26021181,6.039,5.2725,2.096285319,1.411993348,null
14.047,0.185,4.402594558,3.957898717,5.179,4.6555,2.179959668,1.309406515,null
14.252,0.185,4.889364453,4.201628212,5.8415,5.3355,2.069624754,1.289203303,low
14.271,0.185,4.598256877,4.335831366,5.384,5.0485,2.026028537,1.349786562,low
14.42,0.185,4.900771328,4.193509597,5.811,5.064,2.228013979,1.301589948,low
14.716,0.185,4.918979264,4.477090188,5.5535,4.9625,2.30331584,1.319171683,low
13.043,0.186,4.535062411,4.029365971,6.0605,5.734,2.287443482,1.192240759,null
13.632,0.186,4.75756229,3.935555674,4.8685,4.357,2.241036005,1.288500316,null
14.052,0.186,4.808442373,4.076895079,5.919,5.2235,2.302068387,1.352283511,null
14.293,0.186,4.994440598,4.700199647,5.67,5.054,2.161200275,1.314546996,low
14.408,0.186,4.733186821,4.362941863,5.716,5.168,2.134582093,1.376451907,low
14.424,0.186,4.641025547,4.276100237,5.708,5.029,2.203872914,1.34522113,low
14.472,0.186,4.732506093,4.208048383,4.955,5.114,2.219298861,1.362374542,low
14.656,0.186,4.898506637,4.191205231,6.0605,5.2825,2.165075851,1.301222787,low
14.661,0.186,4.884952118,4.173571447,5.1025,5.1595,2.423177628,1.297407431,low
15.054,0.186,4.817143768,4.386121365,6.054,5.393,2.185031646,1.377801151,med
14.612,0.187,4.869518248,4.490595854,5.2655,5.416,2.111541114,1.335621274,low
14.626,0.187,4.964649843,4.231218569,5.7285,5.121,2.158975264,1.316203468,low
14.966,0.187,4.884130053,4.21329563,6.205,5.7055,2.153748782,1.281526283,med
13.888,0.188,4.644385237,4.499565612,5.58,4.9645,2.179592873,1.543431925,null
14.007,0.188,4.89038659,4.445669229,5.1335,4.501,2.32484457,1.56456755,null
14.211,0.188,4.639558539,4.107668973,5.946,5.4305,2.080904387,1.200839319,low
14.485,0.188,4.565353729,4.105586844,5.6955,5.289,2.15287723,1.257247367,low
14.491,0.188,4.874819284,4.790309809,5.293,5.396,2.322178164,1.358915383,low
14.723,0.188,4.960643674,4.491594391,6.049,5.4625,2.183435989,1.210248716,low
13.316,0.189,4.868551838,4.251861826,5.974,5.314,2.168226228,1.20729491,null
13.65,0.189,4.695858587,4.376965825,5.78,5.0105,2.241065144,1.401682963,null
14.261,0.189,4.713168117,4.228532457,5.635,5.073,2.184822196,1.408961806,low
14.454,0.189,5.03517229,4.536351466,5.6075,4.9065,2.197337167,1.447831345,low
14.483,0.189,4.691031875,4.449034812,5.253,4.9255,2.259106804,1.45806308,low
14.854,0.189,4.992805628,4.343935031,5.6525,5.33,2.185890712,1.388484408,med
14.908,0.189,4.628254212,4.376298923,5.8585,5.275,2.158249606,1.26638713,med
14.949,0.189,4.760943814,4.64821734,6.099,5.353,2.026524023,1.242626933,med
13.656,0.19,4.692173116,4.055150635,5.039,4.534,2.208979113,1.272917861,null
13.737,0.19,4.662594691,4.319925424,5.3435,4.766,2.483111279,1.321907715,null
13.769,0.19,4.742190707,4.205323389,5.486,4.9225,2.346764193,1.491271882,null
14.119,0.19,4.878188965,4.429697629,5.455,5.16,2.214472067,1.184322344,null
14.137,0.19,4.731410267,4.477628511,5.5045,5.1555,2.13760786,1.396144733,null
14.177,0.19,4.790827481,4.56381623,4.89,4.8245,2.364426528,1.487153021,null
14.424,0.19,4.680165138,4.198964864,5.6815,5.9,2.234952586,1.172559685,low
14.646,0.19,4.819125073,4.603745706,4.8945,4.884,2.182523349,1.332811272,low
14.652,0.19,4.615412224,4.384988172,5.3315,4.9015,2.227214359,1.417913291,low
14.814,0.19,4.868748405,4.077544463,5.3715,4.7355,2.32275407,1.465412527,med
13.87,0.191,4.879111764,4.448615039,5.527,4.7755,2.116142432,1.393048744,null
14.194,0.191,4.992415914,3.879086848,5.6955,5.159,2.214439127,1.413991759,null
14.437,0.191,4.574487059,4.221324342,5.521,5.016,2.132644612,1.400233237,low
14.478,0.191,4.807149383,4.469682138,5.8505,5.5405,2.081325024,1.192202549,low
14.791,0.191,4.908364405,4.201471201,5.7405,5.5255,2.151900635,1.354874573,med
15.135,0.191,4.939432326,4.442614189,5.2345,4.9325,2.328986141,1.37561566,med
13.965,0.192,4.930832066,4.488091614,5.628,5.1535,2.092660324,1.429039122,null
